debank_chain_id,defillama_chain_name
abs,Abstract
a8,Ancient8
ape,ApeChain
arb,Arbitrum
nova,Arbitrum
astar,Astar
avax,Avalanche
bevm,BEVM
bsc,BSC
bob,BOB
base,Base
bera,Berachain
btr,Bitlayer
blast,Blast
boba,Boba
bb,BounceBit
b2,Bsquared
core,Core
canto,Canto
celo,Celo
chiliz,Chiliz
cfx,Conflux
corn,Corn
cro,Cronos
croze,Cronos_zkevm
cyber,Cyber
dbk,DBK Chain
dfk,DFK
degen,Degen
doge,Doge
duck,DuckChain
dym,Dymension
ace,Endurance
eth,Ethereum
ethlink,Etherlink
ftm,Fantom
flr,Flare
frax,Fraxtal
fuse,Fuse
xdai,Gnosis
gravity,Gravity
hmy,Harmony
hsk,HashKey
itze,Immutable zkEVM
ink,Ink
iotx,IoTeX
klay,Kaia
karak,Karak
kava,Kava
kroma,Kroma
linea,Linea
lisk,Lisk
manta,Manta
mnt,Mantle
merlin,Merlin
metis,Metis
mint,Mint
mode,Mode
mobm,Moonbeam
movr,Moonriver
morph,Morph
op,Optimism
oas,Oasys
orderly,Orderly
matic,Polygon
pze,Polygon zkEVM
plnm,Polynomial
apex,Proof of Play Apex
pls,PulseChain
rari,RARI
reya,Reya
ron,Ronin
rsk,Rootstock
sanko,Sanko
scrl,Scroll
sei,Sei
shib,Shibarium
soneium,Soneium
sonic,Sonic
sophon,Sophon
story,Story
swell,SwellChain
taiko,Taiko
tlos,Telos
uni,Unichain
vana,Vana
wemix,WEMIX
world,World Chain
xlayer,Xlayer
zero,Zero
zeta,ZetaChain
zircuit,Zircuit
zora,Zora
opbnb,Op_bnb
real,Re.al
era,zkSync Era